fecha,fase,grupo,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado_real_3clases,ganador_real,total_goles,estado,fecha_consulta,fuente_principal,fuente_verificacion
2026-06-23,grupos,L,England,Ghana,0,0,empate,Empate,0,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-23,grupos,L,Croatia,Panama,1,0,local_gana,Croatia,1,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-23,grupos,K,Colombia,DR Congo,1,0,local_gana,Colombia,1,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-24,grupos,B,Bosnia and Herzegovina,Qatar,3,1,local_gana,Bosnia and Herzegovina,4,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-24,grupos,B,Switzerland,Canada,2,1,local_gana,Switzerland,3,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-24,grupos,C,Morocco,Haiti,4,2,local_gana,Morocco,6,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-24,grupos,C,Scotland,Brazil,0,3,visitante_gana,Brazil,3,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-25,grupos,A,South Africa,South Korea,1,0,local_gana,South Africa,1,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-25,grupos,A,Czechia,Mexico,0,3,visitante_gana,Mexico,3,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-25,grupos,E,Curacao,Ivory Coast,0,2,visitante_gana,Ivory Coast,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-25,grupos,E,Ecuador,Germany,2,1,local_gana,Ecuador,3,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-26,grupos,F,Japan,Sweden,1,1,empate,Empate,2,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-26,grupos,F,Tunisia,Netherlands,1,3,visitante_gana,Netherlands,4,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-26,grupos,D,Turkey,United States,3,2,local_gana,Turkey,5,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
2026-06-26,grupos,D,Paraguay,Australia,0,0,empate,Empate,0,finalizado,2026-06-26,https://www.fourfourtwo.com/competition/all-of-the-world-cup-scores-so-far-at-the-2026-tournament,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures
